恒大世纪广场  精装修   看房方便  业主诚心出售,恒大世纪广场,西客站,3室1厅 ,109.0, 南 北 , 精装 ,27, 板楼,2,11,1550000.0,"14,221元/平",VR看装修 随时看房 
二环段店北路腊山立交桥 世购旁 中间楼层 公摊小,段店北路253-3号,世购,2室0厅 ,50.43, 南 , 简装 ,5, 板楼,4, 10个月以前发布,540000.0,"10,708元/平",VR看装修 房本满五年 
和谐广场 市立五院  交通便利 出行方便,槐村街25号,中大槐树,2室1厅 ,69.53, 南 , 精装 ,6, 板楼,17, 一年前发布,820000.0,"11,794元/平",VR看装修 房本满五年 
阳光100K区 纯南向两居室 精装修 免增值税,阳光100国际新城K区,阳光100区,2室2厅 ,78.37, 南 , 精装 ,33, 板塔结合,4, 一年前发布,1300000.0,"16,588元/平",VR看装修 房本满两年 
现代逸居2-2-1-1 101.00m² 169 万,现代逸居,南辛庄,2室2厅 ,101.45, 南 , 精装 ,18, 板楼,8, 8个月以前发布,1620000.0,"15,969元/平",VR看装修 房本满五年 
香榭丽公馆 92平 两室两厅 110米楼间距,绿地新里香榭丽公馆,西客站,2室2厅 ,90.25, 南 , 简装 ,31, 板楼,4, 6个月以前发布,1160000.0,"12,854元/平",VR看装修 房本满两年 
吉尔北苑 3室0厅 南 北,吉尔北苑,南辛庄,3室0厅 ,79.88, 南 北 , 其他 ,3, 板楼,0, 2个月以前发布,1450000.0,"18,153元/平",VR看装修 房本满五年 
西市场+省立医院+和谐广场+小区安静,宝善一里7号,西市场,2室0厅 ,46.4, 南 北 , 简装 ,6, 板楼,20, 一年前发布,615000.0,"13,255元/平",VR看装修 房本满五年 
一楼带院 精装修 满五不唯一 看房方便 诚意出售,匡山小区,匡山区,2室1厅 ,59.45, 南 , 精装 ,5, 板楼,10, 3个月以前发布,850000.0,"14,298元/平",VR房源 房本满两年 
房子正规二室二厅 采光好 户型方正 前后没有遮挡,振兴街小区,和谐广场,2室2厅 ,105.34, 南 北 , 精装 ,7, 板楼,6, 8个月以前发布,1260000.0,"11,962元/平",VR看装修 房本满五年 
位置好 产权清晰 中间楼层 业主诚心出售,北小辛庄东街,和谐广场,2室1厅 ,57.54, 南 , 简装 ,5, 板楼,4, 11个月以前发布,800000.0,"13,904元/平",VR看装修 房本满五年 
阳光100，三室南北通透，方正户型，精装修,阳光100国际新城K区,阳光100区,3室2厅 ,128.98, 南 北 , 精装 ,33, 板塔结合,24, 一年前发布,2600000.0,"20,159元/平",VR看装修 房本满两年 
视野开阔 三室朝阳 采光良好 房屋布局合理,阳光100国际新城G区,阳光100区,3室2厅 ,135.21, 南 西 , 精装 ,23, 板楼,20, 7个月以前发布,2060000.0,"15,236元/平",VR看装修 房本满五年 
香桔市+小户型+年轻人的选择+诚意出售,香桔市,营市街,1室1厅 ,45.0, 南 , 简装 ,18, 板楼,12, 一年前发布,585000.0,"13,000元/平",VR看装修 房本满五年 
精装修两居室，户型方正得房率高，带地下室,阳光100国际新城T区,阳光100区,2室2厅 ,88.09, 南 , 精装 ,24, 塔楼,13, 一年前发布,1430000.0,"16,234元/平",VR看装修 房本满五年 
急售！业主置换，采光好无遮挡，小区环境优质，随时看,纬五路63号院,火车站,2室2厅 ,85.89, 南 北 , 简装 ,6, 板楼,4, 11个月以前发布,1100000.0,"12,808元/平",VR看装修 房本满两年 
业主诚心出售  精装修。经典户型，采光充足,世纪中华城,腊山,1室2厅 ,61.97, 南 , 精装 ,6, 板楼,4, 8个月以前发布,610000.0,"9,844元/平",VR看装修 房本满两年 
南北通透 采光好 精装修 诚心出售,新世界阳光花园东区,和谐广场,2室2厅 ,91.07, 南 北 , 精装 ,18, 板楼,23, 一年前发布,1780000.0,"19,546元/平",VR看装修 房本满两年 
小康人家 楼层好 出行方便 采光好,小康人家,营市街,2室2厅 ,82.68, 南 , 精装 ,6, 板楼,0, 3个月以前发布,1260000.0,"15,240元/平",VR房源 房本满五年 
房产证满2年 双气 带10平的下室 有长租固定车位,床单厂宿舍,中大槐树,2室1厅 ,86.09, 南 北 , 简装 ,7, 板楼,4, 9个月以前发布,1090000.0,"12,662元/平",VR看装修 房本满两年 
业主诚心出售，刚需三室  户型方正 无遮挡,梦世界润园,世购,3室2厅 ,93.15, 南 北 , 简装 ,33, 板楼,8, 9个月以前发布,1400000.0,"15,030元/平",VR看装修 房本满两年 
龙湖洋房 居住舒适 户型方正  诚心出售,龙湖名景台,西客站,3室2厅 ,124.43, 南 , 简装 ,9, 板楼,6, 3个月以前发布,2300000.0,"18,485元/平",VR看装修 房本满两年 
联通宿舍 两室一厅 双气 全明户型,幸福街4-1,匡山区,2室1厅 ,72.55, 南 北 , 简装 ,6, 板楼,10, 一年前发布,880000.0,"12,130元/平",VR看装修 房本满五年 
房主急卖，必看好房，户型方正，南北通透,匡山小区,匡山区,2室1厅 ,57.51, 南 北 , 简装 ,5, 板楼,1, 10个月以前发布,780000.0,"13,563元/平",VR看装修 房本满五年 
匡山小区两室一厅  双气  采光好   看房方便,匡山小区,匡山区,2室1厅 ,64.8, 南 , 简装 ,6, 板楼,1, 一年前发布,760000.0,"11,729元/平",VR看装修 房本满五年 
采光好，交通便利，适宜居住，精装修,阳光100国际新城C区,阳光100区,3室2厅 ,122.84, 西南 , 简装 ,16, 板塔结合,6, 11个月以前发布,2160000.0,"17,584元/平",VR看装修 房本满五年 
玉景家园3-2-1-2138.60m² 206 万,玉景家园,南辛庄,3室2厅 ,137.6, 南 北 , 精装 ,6, 板塔结合,1, 6个月以前发布,2060000.0,"14,971元/平",VR看装修 房本满五年 
南上山街  育英  无记录  小三室  位置好 诚心出售,经七路,和谐广场,3室1厅 ,68.02, 南 北 , 精装 ,7, 板楼,3, 6个月以前发布,2380000.0,"34,990元/平",VR看装修 房本满五年 
经十路满五年户型好通透采光好，交通便利诚意出售,张庄路392号,世购,2室1厅 ,60.49, 南 北 , 精装 ,4, 板楼,3, 一年前发布,698000.0,"11,540元/平",VR看装修 房本满五年 
金联居双气，中等装修，随时免费看房,金联居,南辛庄,2室2厅 ,92.47, 南 北 , 简装 ,16, 板楼,14, 6个月以前发布,1390000.0,"15,032元/平",VR看装修 房本满五年 
此房楼层好，视野开阔，采光充足，南北通透,绿地中央广场三区,西客站,2室2厅 ,97.75, 南 北 , 简装 ,32, 板楼,0, 4个月以前发布,1340000.0,"13,709元/平",近地铁 VR看装修 房本满两年 
业主急售中间楼层视野好餐客一体格局好,恒大雅苑,西客站,2室2厅 ,100.24, 南 , 精装 ,33, 板楼,4, 2个月以前发布,1340000.0,"13,368元/平",近地铁 VR看装修 房本满两年 
新 上 锦绣城温馨两居室 诚心出售 随时看房 观景房,中建锦绣城,西客站,2室2厅 ,92.0, 南 , 精装 ,33, 板楼,4, 9个月以前发布,1280000.0,"13,914元/平",近地铁 VR看装修 房本满五年 
房子满两年免高税 带车位地下室 还带全屋家具家电,绿地中央广场三区,西客站,2室2厅 ,94.94, 南 , 精装 ,32, 板楼,2, 1个月以前发布,1350000.0,"14,220元/平",近地铁 VR看装修 房本满两年 
西客站小两室   三个阳台   采光好   交通便利,绿地中央广场四区,西客站,2室2厅 ,92.57, 南 北 , 精装 ,32, 板楼,9, 一年前发布,1250000.0,"13,504元/平",近地铁 VR看装修 房本满两年 
四室南北通透，大客厅，视野好俯视大片区域到青龙山,阳光100国际新城B区,阳光100区,4室2厅 ,143.56, 南 北 , 简装 ,18, 板塔结合,5, 一年前发布,3200000.0,"22,291元/平",VR看装修 房本满两年 
西市场两室两厅，精装修，诚心出售,裕园小区,西市场,2室2厅 ,91.6, 南 北 , 精装 ,5, 板楼,5, 5个月以前发布,1370000.0,"14,957元/平",VR看装修 房本满五年 
此房房产证满两年，精装，前无遮挡 视野好,中建锦绣城,西客站,2室2厅 ,90.77, 南 , 精装 ,33, 板楼,1, 5个月以前发布,1300000.0,"14,322元/平",近地铁 VR看装修 房本满两年 
通透户型，大客厅，落地窗，三个卧室在一侧，动静分离,阳光100国际新城G区,阳光100区,3室2厅 ,151.51, 南 北 , 精装 ,26, 板塔结合,2, 6个月以前发布,2520000.0,"16,633元/平",VR看装修 房本满五年 
和谐广场北邻 花园式小区 南向采光好 精装修 配套全,新世界阳光花园东区,和谐广场,2室2厅 ,91.63, 南 , 精装 ,18, 板楼,80, 一年前发布,1780000.0,"19,426元/平",VR看装修 房本满五年 
交通便利，诚心出售。采光好，无遮挡。南向暖居,金联居,南辛庄,2室2厅 ,92.47, 南 , 简装 ,16, 板楼,6, 9个月以前发布,1430000.0,"15,465元/平",VR看装修 房本满五年 
南北通透户型楼层好 采光好 交通方便[价格含地下室],绿地中央广场二区,西客站,2室2厅 ,96.87, 南 北 , 简装 ,31, 板楼,21, 一年前发布,1250000.0,"12,904元/平",近地铁 VR看装修 房本满两年 随时看房 
精装好房  诚心出售  不靠高架  楼间距大且楼层好,中建锦绣城,西客站,2室1厅 ,92.78, 南 , 简装 ,30, 板楼,1, 7个月以前发布,1300000.0,"14,012元/平",近地铁 VR看装修 房本满两年 
西客站绿地爱丽舍 两室一厅均朝阳 含车位和大地下室,绿地中央广场四区,西客站,2室2厅 ,91.85, 南 , 简装 ,25, 板楼,0, 1个月以前发布,1190000.0,"12,956元/平",近地铁 VR看装修 房本满两年 
房子4室，南北通透，双气双阳台,经六路（槐荫区）,儿童医院,4室0厅 ,96.44, 南 北 , 简装 ,5, 板楼,26, 一年前发布,1300000.0,"13,480元/平",VR看装修 房本满五年 
匡山小区 一楼带院子 南北卧室 通风采光都不错,匡山小区,匡山区,2室1厅 ,47.6, 南 , 简装 ,6, 板楼,37, 一年前发布,650000.0,"13,656元/平",近地铁 VR房源 房本满五年 
西客站 海亮艺术华府 证满二  南向无遮挡 好房一套,海亮艺术华府,西客站,2室2厅 ,86.4, 南 , 简装 ,22, 板楼,6, 一年前发布,1190000.0,"13,774元/平",VR看装修 房本满两年 
两室一厅朝阳落地大飘窗东向大阳台精装修房型方正,阳光100国际新城E区,阳光100区,3室1厅 ,143.97, 东南 , 精装 ,18, 塔楼,14, 一年前发布,3200000.0,"22,227元/平",VR看装修 房本满两年 
小三室 全屋精装 地板锃亮 直接入住 低楼层 上下方便,阳光100国际新城G区,阳光100区,3室2厅 ,109.23, 西北 , 精装 ,26, 板塔结合,18, 一年前发布,1780000.0,"16,296元/平",VR看装修 房本满五年 
精装修，双气，带30平左右露台，南北通透,绿地国际花都,腊山,1室2厅 ,72.4, 南 北 , 精装 ,33, 板楼,65, 一年前发布,860000.0,"11,879元/平",近地铁 VR房源 房本满五年 
此房户型方正，采光好，视野好，出行便利，社区成熟。,绿地泉景园,腊山,2室2厅 ,86.52, 南 , 简装 ,33, 板楼,0, 一年前发布,1100000.0,"12,714元/平",近地铁 VR看装修 房本满五年 
满五唯一 诚心出售 楼层好 采光充足,绿地国际花都,腊山,2室2厅 ,84.6, 南 , 精装 ,29, 板楼,1, 一年前发布,1060000.0,"12,530元/平",近地铁 VR看装修 房本满五年 
出行方便，房型通风好，大客厅，精装,阳光100国际新城F区,阳光100区,3室1厅 ,140.67, 西北 , 精装 ,18, 塔楼,31, 一年前发布,1880000.0,"13,365元/平",VR看装修 房本满五年 
经七路 经十路 和谐广场 省立医院,德裕家园一区,西市场,3室1厅 ,99.36, 南 北 , 简装 ,31, 板楼,5, 一年前发布,1360000.0,"13,688元/平",VR房源 房本满两年 
此房是八里桥22-1 床单厂的单位宿舍 小区安静,八里桥22-1,中大槐树,2室1厅 ,84.44, 南 , 简装 ,6, 板楼,1, 一年前发布,930000.0,"11,014元/平",近地铁 VR看装修 房本满五年 
路劲御景城  花园式绿化 业主诚心出售 精装,路劲御景城,中大槐树,2室2厅 ,92.84, 南 北 , 精装 ,28, 板楼,8, 5个月以前发布,1520000.0,"16,373元/平",近地铁 VR看装修 房本满两年 
满五唯一、采光刺眼、精心装修、带地下室、诚意出售、,路劲御景城,中大槐树,3室2厅 ,106.85, 南 北 , 精装 ,28, 板楼,10, 3个月以前发布,1970000.0,"18,438元/平",近地铁 VR看装修 房本满两年 
纬十二路 精装两室 路径御景城 视野好 温馨哈哈,路劲御景城,中大槐树,2室2厅 ,92.84, 南 , 精装 ,28, 板楼,57, 一年前发布,1530000.0,"16,480元/平",近地铁 VR看装修 房本满两年 
花园式绿化 小区楼间距大，居住舒适度高,路劲御景城,中大槐树,3室2厅 ,102.13, 南 北 , 精装 ,15, 板楼,5, 4个月以前发布,2150000.0,"21,052元/平",近地铁 VR看装修 房本满五年 
槐荫区绿地泉景园 精装修 满两年 有地下室,绿地泉景园,腊山,2室2厅 ,87.16, 南 , 精装 ,33, 板楼,4, 一年前发布,1150000.0,"13,195元/平",近地铁 VR看装修 房本满两年 
无抵押，免高税，中高楼层，视野好，采光棒！,绿地国际花都,腊山,2室1厅 ,85.07, 南 , 简装 ,24, 板楼,7, 一年前发布,1050000.0,"12,343元/平",近地铁 VR看装修 房本满五年 
两室精装好房 房主诚心出售 楼层好 采光棒！随时看房,绿地国际花都,腊山,2室2厅 ,89.61, 南 , 简装 ,23, 板楼,4, 一年前发布,1100000.0,"12,276元/平",近地铁 VR看装修 房本满两年 
精装修 满二年 南向两室 带一个小阳光房,绿地国际花都,腊山,2室2厅 ,91.24, 南 , 精装 ,21, 板楼,9, 1个月以前发布,1020000.0,"11,180元/平",近地铁 VR看装修 房本满五年 
荣祥花园一期 三室 低楼层世购旁 70年产权 二十中,荣祥花园,腊山,3室2厅 ,117.61, 南 北 , 精装 ,6, 板楼,4, 5个月以前发布,1550000.0,"13,180元/平",近地铁 VR房源 房本满五年 
精装两室婚房  采光十足 业主诚心出售 无遮挡,绿地国际花都,腊山,2室1厅 ,84.52, 南 , 精装 ,30, 板楼,1, 10个月以前发布,1070000.0,"12,660元/平",近地铁 VR看装修 房本满两年 
绿地泉景园 两居户型 南北通透 楼层好 采光好,绿地泉景园,腊山,2室2厅 ,88.35, 南 北 , 简装 ,33, 板楼,4, 2个月以前发布,1240000.0,"14,036元/平",近地铁 VR看装修 房本满五年 
此房两居室，采光视野好，小区成熟,荣祥花园,腊山,2室1厅 ,62.96, 北 , 精装 ,22, 板楼,16, 一年前发布,860000.0,"13,660元/平",近地铁 VR看装修 房本满五年 
绿地泉景园，小高层，中式精装两室,绿地泉景园,腊山,2室2厅 ,86.15, 南 , 精装 ,18, 板楼,9, 一年前发布,1180000.0,"13,698元/平",近地铁 VR看装修 房本满两年 
经十西路旁 总高11层 精装两室  花园洋房,外海中央花园一期,腊山,2室2厅 ,95.97, 南 , 精装 ,11, 板楼,3, 2个月以前发布,1550000.0,"16,151元/平",VR房源 房本满五年 
房子精装修，户型方正，客厅有40平，通风很好。,阳光100国际新城F区,阳光100区,3室2厅 ,140.35, 西北 , 精装 ,18, 塔楼,17, 10个月以前发布,1950000.0,"13,894元/平",VR看装修 房本满五年 
两室朝阳 精装修 户型房正 一梯两户 南北通透,槐荫街36号,营市街,2室2厅 ,69.28, 南 北 , 简装 ,5, 板楼,16, 11个月以前发布,1100000.0,"15,878元/平",VR看装修 房本满五年 
紧凑精装三居室，户型方正，中楼层,阳光100国际新城K区,阳光100区,3室2厅 ,103.06, 东南 , 精装 ,33, 板楼,20, 一年前发布,1790000.0,"17,369元/平",VR看装修 房本满两年 
匡山小区  双气 已装修 房产证满五年,匡山小区,匡山区,2室1厅 ,56.95, 南 北 , 精装 ,6, 板楼,1, 2个月以前发布,660000.0,"11,590元/平",近地铁 VR看装修 房本满五年 
世购旁桃园小区北区 世购两室一厅 边户 2号地铁线,桃园小区北区,世购,2室1厅 ,66.63, 南 , 简装 ,5, 板楼,10, 7个月以前发布,660000.0,"9,906元/平",VR看装修 房本满五年 
南向户型  楼层好，采光好，室内明亮 诚心出售满二,绿地中央广场三区,西客站,2室2厅 ,94.82, 南 , 精装 ,29, 板楼,1, 3个月以前发布,1230000.0,"12,972元/平",近地铁 VR看装修 房本满两年 
精精精装修！采光刺眼！看房方便！,绿地中央广场三区,西客站,2室1厅 ,91.91, 南 , 精装 ,31, 板楼,14, 3个月以前发布,1180000.0,"12,839元/平",近地铁 VR房源 房本满两年 
全屋精装修 此价带全屋家具家电 满两年免高税,绿地中央广场一区,西客站,2室1厅 ,95.38, 南 , 精装 ,24, 板楼,0, 3个月以前发布,1320000.0,"13,840元/平",近地铁 VR看装修 房本满两年 
中建锦绣城 两室客厅朝阳 精装修,中建锦绣城,西客站,2室2厅 ,92.98, 南 , 精装 ,26, 板楼,0, 1个月以前发布,1600000.0,"17,209元/平",近地铁 VR看装修 房本满两年 
小区环境好 配套齐全 交通便利南北楼层好,恒大雅苑,西客站,2室1厅 ,96.31, 南 , 精装 ,30, 板楼,1, 一年前发布,1380000.0,"14,329元/平",近地铁 VR看装修 房本满五年 
复式结构，小户型，优质小区，采光好，交通方便,香桔市,营市街,1室1厅 ,39.93, 北 , 精装 ,6, 板楼,21, 3个月以前发布,440000.0,"11,020元/平",VR房源 房本满五年 
西客站 中建锦绣城 好楼层 印象济南 弘阳广场,中建锦绣城,西客站,2室2厅 ,90.72, 南 , 精装 ,33, 板楼,4, 1个月以前发布,1300000.0,"14,330元/平",近地铁 VR看装修 房本满两年 
西客站南北通透 交通便利采光好,绿地中央广场三区,西客站,2室1厅 ,97.75, 南 北 , 精装 ,32, 板楼,9, 一年前发布,1300000.0,"13,300元/平",近地铁 VR看装修 房本满两年 
西客站 善信大厦对过 好装修 全屋智能家居 随时看房,荣宝御园,西客站,2室2厅 ,95.88, 南 , 精装 ,23, 板楼,23, 一年前发布,1260000.0,"13,142元/平",近地铁 VR看装修 房本满两年 
锦绣城三期 精装修 拎包入住 中间楼层 诚心出售,中建锦绣城,西客站,2室1厅 ,92.98, 南 北 , 精装 ,26, 板楼,10, 3个月以前发布,1300000.0,"13,982元/平",近地铁 VR看装修 房本满两年 
西客站 南北通 配套齐全 交通便利 楼层好 采光棒 诚意,中建锦绣城,西客站,3室2厅 ,100.5, 南 北 , 精装 ,33, 板楼,22, 1个月以前发布,1550000.0,"15,423元/平",近地铁 VR看装修 房本满两年 
济南市槐荫区绿地广场四区精装二居室出售中,绿地中央广场四区,西客站,2室1厅 ,92.57, 南 , 精装 ,32, 板楼,1, 6个月以前发布,1250000.0,"13,504元/平",近地铁 VR看装修 房本满两年 
西客站 荣宝御园 精装满两年 有车位 配套全 诚意出售,荣宝御园,西客站,3室2厅 ,114.26, 南 北 , 精装 ,23, 板楼,13, 5个月以前发布,1500000.0,"13,128元/平",近地铁 VR看装修 房本满两年 
此房为中间楼层   视野开阔    户型方正   满两年,大尧风华盛景,西客站,2室1厅 ,92.03, 南 , 简装 ,23, 板楼,2, 3个月以前发布,1160000.0,"12,605元/平",近地铁 VR看装修 房本满两年 
中建锦绣城二居室，视野宽广精装修出售中,中建锦绣城,西客站,2室1厅 ,89.19, 南 北 , 精装 ,27, 板楼,3, 一年前发布,1350000.0,"15,137元/平",VR看装修 房本满两年 
房产证满2年 双气 带10平的下室 有长租固定车位,床单厂宿舍,中大槐树,2室1厅 ,86.09, 南 北 , 简装 ,7, 板楼,4, 9个月以前发布,1090000.0,"12,662元/平",VR看装修 房本满两年 
南辛苑 两室一厅 好房出售 采光好,南辛苑,南辛庄,2室1厅 ,94.21, 西南 , 简装 ,17, 板楼,11, 一年前发布,1350000.0,"14,330元/平",VR看装修 房本满五年 
蓝石大溪地精装小高层，拎包入住，业主着急出售,蓝石大溪地,经十西路,2室2厅 ,97.48, 南 , 精装 ,18, 板楼,11, 4个月以前发布,1050000.0,"10,772元/平",VR看装修 房本满五年 
阳光100三居室板楼 精装修直接入住 诚意出售带地下室,阳光100国际新城G区,阳光100区,3室2厅 ,143.57, 南 北 , 精装 ,18, 板楼,7, 6个月以前发布,2750000.0,"19,155元/平",VR看装修 房本满五年 
因工作 换房 可大谈 带地下室 三居室都可以看见绿植,阳光100国际新城T区,阳光100区,3室1厅 ,93.1, 西北 , 精装 ,24, 塔楼,273, 10个月以前发布,1350000.0,"14,501元/平",VR看装修 房本满五年 
西市场好房 精装修两室 原婚房自住 拎包入住  急售,顺祥新区,西市场,2室1厅 ,65.49, 南 , 精装 ,20, 板楼,14, 一年前发布,1090000.0,"16,644元/平",VR看装修 房本满五年 
海亮艺术华府 高楼层 带装修 房本满二 随时看房,海亮艺术华府,西客站,2室2厅 ,85.93, 南 , 简装 ,30, 板楼,2, 8个月以前发布,1220000.0,"14,198元/平",VR看装修 房本满两年 
槐苑小区，全明户型，采光好，房主诚心卖,槐苑小区,营市街,3室1厅 ,97.77, 南 北 , 简装 ,5, 板楼,42, 一年前发布,1350000.0,"13,808元/平",VR房源 房本满五年 
刘长山路 南北通透两室 位于腊山上 环境好,世纪中华城,腊山,2室1厅 ,86.11, 南 北 , 精装 ,6, 板楼,6, 一年前发布,1020000.0,"11,846元/平",VR看装修 房本满五年 
和谐广场 西市场  交通便利位置优越,道德商城,和谐广场,2室1厅 ,71.62, 南 , 精装 ,7, 板塔结合,3, 一年前发布,850000.0,"11,869元/平",VR看装修 房本满五年 
两室两厅 满二！！视野好 看房方便,绿地新里香榭丽公馆,西客站,2室2厅 ,90.4, 南 , 精装 ,31, 板楼,15, 6个月以前发布,1160000.0,"12,832元/平",VR看装修 房本满两年 
你不带鞋套都不好意思进门看房，太干净了,阳光100国际新城T区,阳光100区,3室2厅 ,93.68, 西北 , 精装 ,34, 塔楼,25, 4个月以前发布,1418000.0,"15,137元/平",VR看装修 房本满五年 
此房是泉城花园 两室一厅 户型方正 有电梯,泉城花园,匡山区,2室1厅 ,86.79, 南 , 简装 ,16, 板楼,4, 4个月以前发布,1100000.0,"12,675元/平",VR看装修 房本满五年 
花园洋房 两室两厅 户型方正 有电梯通透户型带地下室,泉城花园,匡山区,2室1厅 ,102.78, 南 , 精装 ,7, 板楼,6, 4个月以前发布,1470000.0,"14,303元/平",VR看装修 房本满五年 
和谐广场经十路公园旁南辛庄东街房龄新南北通两室两厅,南辛庄东街,南辛庄,2室2厅 ,94.75, 南 , 精装 ,6, 暂无数据,8, 9个月以前发布,1320000.0,"13,932元/平",VR看装修 房本满五年 
满二免高税中间楼层 采光好 视野开阔 配套齐全,阳光100国际新城F区,阳光100区,3室1厅 ,121.59, 南 , 精装 ,18, 塔楼,81, 7个月以前发布,1700000.0,"13,982元/平",VR看装修 房本满两年 
美里新居 2室1厅 南 北,美里新居,美里湖,2室1厅 ,76.8, 南 北 , 简装 ,7, 板楼,0, 一年前发布,910000.0,"11,849元/平",VR看装修 房本满五年 
精装修 采光通风好 南面可看广场风景 明卫明厨空间大,阳光100国际新城F区,阳光100区,3室2厅 ,157.33, 西南 , 精装 ,18, 塔楼,0, 一年前发布,2900000.0,"18,433元/平",VR看装修 房本满五年 
西市场 顺祥新区 中间楼 采光好 无遮挡 三室 双气,顺祥新区,西市场,3室2厅 ,103.03, 南 北 , 精装 ,21, 板楼,8, 一年前发布,1460000.0,"14,171元/平",VR看装修 房本满五年 
二室朝阳小三室，采光好，出行便捷 近阳光100外国语,阳光100国际新城F区,阳光100区,3室2厅 ,121.77, 南 , 精装 ,18, 塔楼,16, 一年前发布,1950000.0,"16,014元/平",VR看装修 房本满五年 
森林公园北泉城花园  满五唯一 拎包入住 两室两厅,泉城花园,匡山区,2室2厅 ,97.4, 南 北 , 精装 ,12, 板楼,0, 10个月以前发布,1350000.0,"13,861元/平",VR看装修 房本满五年 
2019年精装修，两梯三户，采光充足，小区安静宜居,阳光100国际新城K区,阳光100区,2室1厅 ,93.87, 南 , 精装 ,22, 板塔结合,2, 2个月以前发布,1790000.0,"19,069元/平",VR看装修 房本满两年 
此房户型是大三室，两室一厅朝南，户型方正 通透性好,绿地新里香榭丽公馆,西客站,3室2厅 ,134.94, 南 , 简装 ,32, 板楼,4, 6个月以前发布,1650000.0,"12,228元/平",VR看装修 房本满两年 
居易香桔市精装复式，配套商建用房，70年产权，双气,香桔市,营市街,2室1厅 ,57.6, 南 , 精装 ,6, 板楼,88, 一年前发布,750000.0,"13,021元/平",VR房源 房本满五年 
楼层好户型方正 落地窗，视野开阔，证满五年 精装修,阳光100国际新城G区,阳光100区,3室2厅 ,139.07, 东南 , 精装 ,28, 塔楼,7, 一年前发布,2100000.0,"15,101元/平",VR看装修 房本满五年 
此房满五唯一，精致装修，中间楼层，南北通透，,玉景家园,南辛庄,3室2厅 ,144.98, 南 北 , 其他 ,6, 板楼,6, 8个月以前发布,2400000.0,"16,555元/平",VR房源 房本满五年 
20万精装修 全屋品牌家具家电 带车位地下室 采光好,绿地新里香榭丽公馆,西客站,3室2厅 ,110.62, 南 , 精装 ,31, 板楼,16, 6个月以前发布,1600000.0,"14,464元/平",VR看装修 房本满两年 
汇祥苑小区上匡山~学，世纪金榜南侧，10年建房,汇祥苑,匡山区,2室2厅 ,79.97, 南 北 , 其他 ,11, 板楼,0, 3个月以前发布,1000000.0,"12,505元/平",VR看装修 房本满两年 
龙湖洋房 新装修没住 好楼层  采光好 价格合理,龙湖水晶郦城,西客站,3室2厅 ,129.51, 南 北 , 精装 ,11, 板楼,11, 1个月以前发布,2550000.0,"19,690元/平",VR看装修 房本满两年 
店长推荐+低楼层+单价低+随时看+诚意出售,忠厚街1-5号,西市场,2室1厅 ,68.73, 南 , 简装 ,7, 板楼,2, 3个月以前发布,850000.0,"12,368元/平",VR看装修 房本满两年 
绿地泉景园 2室1厅 南,绿地泉景园,腊山,2室1厅 ,88.81, 南 , 精装 ,33, 板楼,2, 4个月以前发布,1120000.0,"12,612元/平",近地铁 VR看装修 房本满五年 
槐荫区绿地泉景园 精装修 满两年 有地下室,绿地泉景园,腊山,2室2厅 ,87.16, 南 , 精装 ,33, 板楼,4, 一年前发布,1150000.0,"13,195元/平",近地铁 VR看装修 房本满两年 
绿地国际花都三室南北通透的户型,绿地国际花都,腊山,3室2厅 ,102.68, 南 北 , 精装 ,33, 板楼,4, 6个月以前发布,1500000.0,"14,609元/平",近地铁 VR看装修 房本满五年 
花都精装两室 采光充足 无遮挡 房产证满2年,绿地国际花都,腊山,2室1厅 ,84.5, 南 , 简装 ,30, 板楼,0, 6个月以前发布,1020000.0,"12,072元/平",近地铁 VR看装修 房本满五年 
急售！装修好，loft公寓户型使用面积大，视野开阔！,乐梦中心,腊山,1室1厅 ,47.24, 北 , 简装 ,20, 板塔结合,11, 一年前发布,430000.0,"9,103元/平",近地铁 VR房源 房本满两年 
精装修 满二年 南向两室 带一个小阳光房,绿地国际花都,腊山,2室2厅 ,91.24, 南 , 精装 ,21, 板楼,9, 1个月以前发布,1020000.0,"11,180元/平",近地铁 VR看装修 房本满五年 
经十西路旁 总高11层 精装两室  花园洋房,外海中央花园一期,腊山,2室2厅 ,95.97, 南 , 精装 ,11, 板楼,3, 2个月以前发布,1550000.0,"16,151元/平",VR房源 房本满五年 
绿地泉景园 两居户型 南北通透 楼层好 采光好,绿地泉景园,腊山,2室2厅 ,88.35, 南 北 , 简装 ,33, 板楼,4, 2个月以前发布,1240000.0,"14,036元/平",近地铁 VR看装修 房本满五年 
两室精装好房 房主诚心出售 楼层好 采光棒！随时看房,绿地国际花都,腊山,2室2厅 ,89.61, 南 , 简装 ,23, 板楼,4, 一年前发布,1100000.0,"12,276元/平",近地铁 VR看装修 房本满两年 
南面无遮挡 采光视野好，出行方便，人车分流,绿地国际花都,腊山,2室1厅 ,84.27, 南 , 精装 ,18, 板楼,10, 2个月以前发布,950000.0,"11,274元/平",近地铁 VR看装修 房本满五年 
此房子产权清晰，房产证满两年，楼层好采光好,绿地泉景园,腊山,2室2厅 ,86.98, 南 , 精装 ,33, 板楼,5, 6个月以前发布,1080000.0,"12,417元/平",近地铁 VR看装修 房本满两年 
