精装两室不沿街 全福立交桥两室两厅全明户型 客厅朝南,路劲东城,全福区,2室2厅 ,82.94, 南 , 精装 ,33, 板楼,10, 1个月以前发布,1280000.0,"15,433元/平",VR看装修 房本满两年 随时看房 
南北通透 客厅方正 加装电梯 诚心出售 学术气息浓厚,山大老校第三宿舍,洪家楼,2室2厅 ,69.53, 南 北 , 简装 ,6, 板楼,2,10,1400000.0,"20,136元/平",VR看装修 
东兴寓城 2室1厅 南 北,东兴寓城,全福区,2室1厅 ,81.5, 南 北 , 简装 ,6, 板楼,2,10,1100000.0,"13,497元/平",近地铁 VR看装修 随时看房 
东都国际广场 1室1厅 北,东都国际广场,还乡店,1室1厅 ,37.46, 北 , 其他 ,26, 塔楼,1,2,420000.0,"11,212元/平",近地铁 VR看装修 
好楼层  诚心出售  有储物空间  看房方便  采光好,保利海德公馆,祝甸,3室1厅 ,95.01, 南 北 , 精装 ,33, 板楼,3,9,1800000.0,"18,946元/平",近地铁 VR房源 随时看房 
华山珑城挨着XUE校 大两居 采光优 满二,中海华山珑城,华山,2室2厅 ,94.0, 南 , 精装 ,26, 板楼,1,10,1210000.0,"12,873元/平",VR看装修 
中铁奥体26方 1室1厅 东,中铁奥体26方,经十东路,1室1厅 ,25.88, 东 , 精装 ,25, 板楼,1,8,270000.0,"10,433元/平",VR房源 
两室两厅，一梯两户的小高层，公摊小，楼层好。,翡翠清河东区,还乡店,2室2厅 ,96.25, 南 北 , 简装 ,11, 板楼,1,9,1670000.0,"17,351元/平",VR看装修 
房子是婚房装修，装修很好，带地下室，诚心卖,碧桂园翡翠雅郡,经十东路,2室2厅 ,85.72, 南 北 , 精装 ,25, 板楼,1, 6个月以前发布,1100000.0,"12,833元/平",VR看装修 房本满两年 
精装两居室 满二 没高税 中间楼层 房子住得很爱惜.,碧桂园翡翠雅郡,经十东路,2室2厅 ,88.27, 南 , 精装 ,26, 板楼,8, 4个月以前发布,1010000.0,"11,443元/平",VR看装修 房本满两年 
高新东彩虹湖 天马相城2室价格合适!有车位！无地下室,天马相城彩虹湖,经十东路,2室2厅 ,98.65, 西 , 精装 ,24, 板楼,63, 一年前发布,860000.0,"8,718元/平",VR看装修 房本满五年 
锦绣泉城新出 两室两卫 好位置 免高税 精装房,锦绣泉城,七里河,3室2厅 ,99.08, 南 北 , 精装 ,13, 板楼,18, 5个月以前发布,1830000.0,"18,470元/平",VR看装修 房本满五年 
济钢新村 两室一厅户型 业主诚意卖,济钢新村北区,济钢,2室2厅 ,90.72, 南 北 , 其他 ,6, 板楼,4, 一年前发布,1190000.0,"13,118元/平",VR看装修 房本满五年 
房子户型方正，两室朝阳，客厅有窗，有车位,七里河路34号,七里河,2室2厅 ,95.51, 南 北 , 简装 ,7, 板楼,6, 9个月以前发布,1520000.0,"15,915元/平",VR看装修 房本满五年 
银行宿舍  户型好  采光好  不临街,山大南路18-2,山大路,3室2厅 ,111.57, 南 北 , 精装 ,6, 板楼,7, 11个月以前发布,1900000.0,"17,030元/平",VR看装修 房本满五年 
精装三室，装修未住，诚心出售，小区环境好,碧桂园翡翠雅郡北区,经十东路,2室1厅 ,94.0, 南 北 , 精装 ,22, 板楼,1, 2个月以前发布,1150000.0,"12,235元/平",VR看装修 房本满两年 
时代新城，证过五年、双气 精装 户型方正好用 采光好,南全福南二区,全福区,2室2厅 ,103.83, 南 北 , 精装 ,7, 板楼,9, 一年前发布,1390000.0,"13,388元/平",VR房源 房本满五年 
荣盛锦绣澜湾，精装两室，带车位。,荣盛锦绣澜湾,全福区,2室1厅 ,73.01, 南 , 精装 ,34, 板楼,3, 8个月以前发布,1360000.0,"18,628元/平",VR看装修 房本满两年 
急售龙奥九号精装复式，看房方便,海信龙奥九号,汉峪,2室1厅 ,50.6, 东 , 简装 ,20, 塔楼,5, 6个月以前发布,800000.0,"15,811元/平",VR房源 房本满两年 
工业北祥泰城 价格低 采光好 视野广,祥泰城,还乡店,2室2厅 ,83.74, 南 , 精装 ,30, 板楼,75, 一年前发布,1130000.0,"13,495元/平",VR看装修 房本满两年 
满五 精装 采光充足 视野开阔 看房方便 急售,金色港湾,全福区,1室1厅 ,49.53, 南 , 简装 ,7, 板楼,2, 6个月以前发布,780000.0,"15,749元/平",VR看装修 房本满五年 
闵子骞路，煤气公司宿舍，百花公园旁，低楼层,闵子骞路,洪家楼,2室1厅 ,76.0, 南 北 , 精装 ,6, 板楼,24, 一年前发布,1320000.0,"17,369元/平",VR看装修 房本满五年 
户型方正  客厅实用 采光充足  客厅卧室朝阳,石桥小区,全福区,2室2厅 ,109.08, 南 , 简装 ,6, 板楼,6, 一年前发布,1250000.0,"11,460元/平",VR看装修 房本满两年 
此房证满两年，小区环境好，交通、购物方便,富翔天地,祝甸,2室2厅 ,89.52, 南 北 , 简装 ,11, 板楼,4, 4个月以前发布,1750000.0,"19,549元/平",VR看装修 房本满两年 
两室朝阳 客厅带窗户 济钢高中院里,桑园路46号,还乡店,2室2厅 ,71.47, 南 北 , 简装 ,5, 板楼,6, 10个月以前发布,1100000.0,"15,392元/平",VR看装修 房本满两年 
飘窗可以增加一些空间使用率，享受采光与景色。,名辉豪庭,还乡店,2室2厅 ,92.27, 南 , 精装 ,27, 板楼,14, 一年前发布,1530000.0,"16,582元/平",VR看装修 房本满两年 
百花公园西  三室两厅  双气 带地下室  交通便利,东兴花园,山大路,3室2厅 ,121.32, 南 北 , 简装 ,6, 板楼,2, 5个月以前发布,1960000.0,"16,156元/平",VR看装修 房本满五年 
东头东户，三面大窗，装修干净，视野开阔,洪家楼西路82-3号,洪家楼,2室2厅 ,108.59, 南 北 , 其他 ,7, 板楼,8, 5个月以前发布,1700000.0,"15,656元/平",VR看装修 房本满五年 
户型小 总价低  繁华地段  交通方便 生活便利,山东大学老校第四宿舍,洪家楼,2室2厅 ,65.0, 南 , 精装 ,6, 板楼,3, 9个月以前发布,1350000.0,"20,770元/平",VR看装修 房本满五年 
中间楼层 公摊小 环境好  生活便利,景苑花园,还乡店,2室2厅 ,100.0, 南 , 精装 ,8, 板楼,2, 5个月以前发布,1440000.0,"14,400元/平",VR房源 房本满五年 
急售 户型方正 通透好 中间楼层采光好,幸福苑,还乡店,2室1厅 ,78.36, 北 , 简装 ,7, 板楼,3, 7个月以前发布,1080000.0,"13,783元/平",VR看装修 房本满五年 
新上龙岱花园 大三室 中间楼层 精装修 看房方便,龙岱花园小区,全福区,3室2厅 ,155.21, 北 南 , 精装 ,7, 板楼,5, 5个月以前发布,2090000.0,"13,466元/平",VR看装修 房本满五年 
采光好，配套成熟 ，交通便利 看房方便 业主诚心出售,祥泰城,还乡店,2室2厅 ,78.53, 南 , 精装 ,30, 板楼,5, 一年前发布,1250000.0,"15,918元/平",VR看装修 房本满两年 
洪楼水利局机关宿舍 大院传达 双气 两室朝阳 大三居,历城区水利局宿舍,洪家楼,3室2厅 ,120.6, 北 南 , 简装 ,5, 板楼,10, 一年前发布,1890000.0,"15,672元/平",VR房源 房本满五年 
精装修两居室 实用面积大 有露台地下室满五唯一,新龙家园,七里河,2室2厅 ,74.7, 南 北 , 精装 ,6, 板楼,51, 一年前发布,1020000.0,"13,655元/平",VR看装修 房本满五年 
花园路 精装两室 价格合适 随时看房,燕舞园,祝甸,2室2厅 ,78.96, 南 北 , 简装 ,7, 板楼,7, 3个月以前发布,880000.0,"11,145元/平",VR看装修 房本满五年 
客厅双卧室朝阳 证满两年无高税 诚心出售,中铁逸都国际,汉峪,2室2厅 ,78.96, 南 , 简装 ,24, 板楼,5, 6个月以前发布,1600000.0,"20,264元/平",VR看装修 房本满两年 
满二无高税  户型方正 价格适中，诚心出售,重汽1956,汉峪,2室1厅 ,94.76, 南 , 其他 ,26, 板楼,35, 10个月以前发布,1850000.0,"19,524元/平",VR看装修 房本满两年 
好楼层  诚心出售  有储物空间  看房方便  采光好,保利海德公馆,祝甸,3室1厅 ,95.01, 南 北 , 精装 ,33, 板楼,3,9,1800000.0,"18,946元/平",近地铁 VR房源 随时看房 
绿地隆悦公馆  精装两室   南北通透  随时看房,绿地隆悦公馆,化纤厂路,2室1厅 ,90.14, 南 北 , 精装 ,19, 板楼,5,14,1750000.0,"19,415元/平",VR房源 
汉峪金谷旁 东城逸家中小，学 户型方正 有车位地下室,舜奥华府南区,汉峪,2室2厅 ,110.0, 南 , 简装 ,26, 板楼,1,14,2480000.0,"22,546元/平",VR看装修 
农科院三宿舍 低单价 免费停车 双气 低总价 看房方便,二环东路1168,还乡店,2室1厅 ,60.0, 南 北 , 简装 ,5, 板楼,1,14,830000.0,"13,834元/平",近地铁 VR看装修 
社区比较安静 多层低楼层 不影响采光 户型方正,景苑花园,还乡店,2室2厅 ,100.53, 南 北 , 简装 ,8, 板楼,0, 8个月以前发布,1370000.0,"13,628元/平",VR房源 房本满五年 
彩虹湖小区    精装两室    证满两年    正常首付,天马相城彩虹湖,经十东路,2室2厅 ,100.2, 北 南 , 精装 ,25, 板楼,28, 一年前发布,980000.0,"9,781元/平",VR看装修 房本满五年 
济钢新村 正规2室 全明户型 楼层好 采光充足,济钢新村南区和东区,济钢,2室1厅 ,72.72, 南 北 , 其他 ,6, 板楼,16, 一年前发布,950000.0,"13,064元/平",VR看装修 房本满五年 
一室一厅，空间大采光足，总价低,明福苑,全福区,1室1厅 ,67.0, 南 北 , 简装 ,7, 板楼,15, 一年前发布,950000.0,"14,180元/平",VR看装修 房本满五年 
孙村彩虹湖天马相城，精装大三室带地下室 车位售10万,天马相城彩虹湖,经十东路,3室2厅 ,133.25, 东 , 精装 ,25, 板楼,6, 6个月以前发布,1330000.0,"9,982元/平",VR看装修 房本满两年 
华龙路，百花小区，两室朝阳，带楼台，随时看房,百花小区,七里河,2室1厅 ,65.53, 南 , 简装 ,7, 板楼,23, 一年前发布,960000.0,"14,650元/平",VR看装修 房本满五年 
建大花园 花园电梯洋房 楼层好 视野开阔 带车位地下室,建大花园,建筑大学,2室2厅 ,93.77, 南 北 , 简装 ,6, 板楼,1, 6个月以前发布,2990000.0,"31,887元/平",VR看装修 房本满五年 
华信路近工业南路，中间楼层，大客厅通透，采光充足,华信路23-2号,七里河,2室2厅 ,95.97, 南 , 简装 ,7, 板楼,1, 一年前发布,1600000.0,"16,672元/平",VR看装修 房本满五年 
工业北路单位宿舍2楼，翡翠清河，明辉豪庭，烟厂宿舍,维尔康食品公司一宿舍,还乡店,2室1厅 ,63.36, 南 北 , 简装 ,5, 板楼,6, 一年前发布,950000.0,"14,994元/平",VR看装修 房本满两年 
七里河路 户型方正 视野好 看房方便 诚心出售 采光好,七里河路34号,七里河,2室2厅 ,71.4, 南 , 简装 ,7, 板楼,7, 一年前发布,1100000.0,"15,407元/平",VR看装修 房本满五年 
精装两室一厅 客厅方正好用 楼下有储藏室,工业南路307,七里河,2室1厅 ,70.67, 南 , 精装 ,6, 板楼,5, 一年前发布,1300000.0,"18,396元/平",VR看装修 房本满五年 
北园大街次新小区电梯房户型方正单价低,龙岱花园小区,全福区,2室2厅 ,116.62, 南 , 简装 ,20, 板楼,2, 11个月以前发布,1300000.0,"11,148元/平",VR房源 房本满两年 
济钢新村2室 北区 房龄短 户型好 通风好,济钢新村北区,济钢,2室2厅 ,90.7, 南 , 精装 ,6, 板楼,5, 一年前发布,1180000.0,"13,010元/平",VR看装修 房本满两年 
两室朝阳采光好，中间楼层视野开阔，诚意出售,华信西区,七里河,2室2厅 ,97.47, 南 北 , 简装 ,6, 板楼,12, 一年前发布,1420000.0,"14,569元/平",VR看装修 房本满五年 
房间采光好 房间格局均衡 好停车两室朝阳带阳台,东航宿舍,甸柳,3室2厅 ,88.32, 南 , 简装 ,6, 板楼,14, 一年前发布,1640000.0,"18,569元/平",VR看装修 房本满五年 
珑城经典两室，位置佳，楼层好，视野开阔，离WGY近。,中海华山珑城,华山,2室2厅 ,92.56, 南 北 , 精装 ,26, 板楼,0, 3个月以前发布,1400000.0,"15,126元/平",VR看装修 房本满两年 
房子证满两年.出行方便。房主诚心出售.价格可谈。,中海华山珑城,华山,2室1厅 ,76.75, 南 北 , 简装 ,33, 板楼,10, 一年前发布,1150000.0,"14,984元/平",VR看装修 房本满两年 
此房满五不唯一，中间楼层采光充足，大户型适合家庭住,工业北路236,还乡店,3室2厅 ,148.21, 南 , 精装 ,6, 板楼,3, 10个月以前发布,2280000.0,"15,384元/平",VR房源 房本满五年 
烟草宿舍 大院停车 大两室 精装修 楼层好,闵子骞路,洪家楼,2室1厅 ,72.6, 南 , 简装 ,6, 板楼,9, 一年前发布,1450000.0,"19,973元/平",VR看装修 房本满五年 
小区少有户型 光景全明户型 3室2卫满足3代居住,尚东1956,建筑大学,3室2厅 ,129.33, 东 南 北 , 精装 ,26, 板楼,1, 6个月以前发布,4000000.0,"30,929元/平",VR看装修 房本满两年 
电梯小高层，精装2室2卫，有钥匙急售看房方便，满五,将军花园新区,还乡店,2室2厅 ,104.38, 南 , 其他 ,18, 板楼,0, 8个月以前发布,1600000.0,"15,329元/平",VR房源 房本满五年 
渡过度两室 中间楼层 房东诚心出售 随时可看,北全福小区西区,全福区,2室1厅 ,65.44, 南 , 简装 ,5, 板楼,1, 9个月以前发布,950000.0,"14,518元/平",VR看装修 房本满五年 
彩虹湖三室  房本满两年了 诚心出售,天马相城彩虹湖,经十东路,3室1厅 ,134.0, 南 北 , 精装 ,25, 板楼,6, 8个月以前发布,1280000.0,"9,553元/平",VR看装修 房本满两年 
好楼层，公摊小，小区配套齐全，诚心出售,济钢新村中心区,济钢,2室2厅 ,76.38, 南 北 , 简装 ,6, 暂无数据,1, 9个月以前发布,1100000.0,"14,402元/平",VR看装修 房本满五年 
房子南向好房，中间楼层，配套全，交通方便,济钢新村中心区,济钢,2室1厅 ,55.0, 南 , 简装 ,5, 暂无数据,8, 一年前发布,600000.0,"10,910元/平",VR看装修 房本满两年 
业主着急出售，楼层好，业主诚意出售，价格低。,济钢新村西区,济钢,2室1厅 ,45.13, 南 , 简装 ,6, 板楼,8, 8个月以前发布,550000.0,"12,188元/平",VR看装修 房本满五年 
满五唯一  24小时热水  停车免费  带25平地下室,黄台电厂第四宿舍,还乡店,2室2厅 ,114.62, 南 , 简装 ,6, 板楼,3, 一年前发布,1450000.0,"12,651元/平",VR看装修 房本满五年 
化肥厂宿舍有证可以贷款，业主诚意出售,济南化肥厂宿舍,王舍人,1室1厅 ,50.06, 南 , 简装 ,6, 板楼,0, 一年前发布,610000.0,"12,186元/平",VR看装修 房本满五年 
满二无高税  户型方正 价格适中，诚心出售,重汽1956,汉峪,2室1厅 ,94.76, 南 , 其他 ,26, 板楼,35, 10个月以前发布,1850000.0,"19,524元/平",VR看装修 房本满两年 
精装修两室，满二，有证随时过户，有地下室,中海华山珑城,华山,2室1厅 ,90.12, 南 北 , 精装 ,24, 板楼,11, 一年前发布,1250000.0,"13,871元/平",VR看装修 房本满两年 
公园边上的温馨大两居，楼层好采光充足,中海华山珑城,华山,2室1厅 ,95.77, 南 北 , 精装 ,33, 板楼,6, 一年前发布,1370000.0,"14,306元/平",VR看装修 房本满两年 
济南化肥厂宿舍南北通透，配套成熟！！！,济南化肥厂宿舍,王舍人,2室2厅 ,75.67, 南 北 , 其他 ,6, 板楼,5, 一年前发布,1000000.0,"13,216元/平",VR看装修 房本满五年 
东头东户，三面大窗，装修干净，视野开阔,洪家楼西路82-3号,洪家楼,2室2厅 ,108.59, 南 北 , 其他 ,7, 板楼,8, 5个月以前发布,1700000.0,"15,656元/平",VR看装修 房本满五年 
洪楼水利局机关宿舍 大院传达 双气 两室朝阳 大三居,历城区水利局宿舍,洪家楼,3室2厅 ,120.6, 北 南 , 简装 ,5, 板楼,10, 一年前发布,1890000.0,"15,672元/平",VR房源 房本满五年 
华山珑城精装两室 满二 视野开阔 即买即住,中海华山珑城,华山,2室2厅 ,82.28, 南 , 精装 ,33, 板楼,28, 一年前发布,1150000.0,"13,977元/平",VR看装修 房本满两年 
房子中高楼层，采光视野好，业主诚心出售，价格合适。,路劲东城,全福区,3室2厅 ,98.1, 南 , 精装 ,33, 板楼,3, 2个月以前发布,1600000.0,"16,310元/平",VR看装修 房本满两年 
北园大街207号 2室1厅 南,北园大街207号,全福区,2室1厅 ,63.57, 南 , 简装 ,5, 暂无数据,1, 一年前发布,950000.0,"14,945元/平",VR看装修 房本满五年 
三室房源总价低。楼层合适。诚心出售,闵子骞路,洪家楼,3室1厅 ,88.04, 南 北 , 精装 ,5, 板楼,35, 一年前发布,1470000.0,"16,697元/平",VR看装修 房本满五年 
力荐好房 多20平独立空间 奢装洋房保养好 即买即住,建大花园,建筑大学,3室2厅 ,135.11, 南 北 , 精装 ,6, 板楼,2, 5个月以前发布,4300000.0,"31,826元/平",VR房源 房本满五年 
银丰唐郡荷花园 装修 满两年可贷款，带车位地下室,银丰唐郡荷花园,唐冶,2室2厅 ,93.17, 南 , 简装 ,17, 板楼,6, 2个月以前发布,1480000.0,"15,885元/平",VR看装修 房本满两年 
房主诚心出售 价格能谈 中间楼层 两室两厅,名辉豪庭,还乡店,2室2厅 ,78.18, 西南 , 简装 ,23, 板楼,14, 8个月以前发布,1180000.0,"15,094元/平",VR看装修 房本满两年 
珑城好位置，96平精装修 楼层好，诚意出售,中海华山珑城,华山,2室2厅 ,96.07, 南 , 精装 ,27, 板楼,0, 2个月以前发布,1320000.0,"13,740元/平",VR看装修 房本满两年 
百花公园南邻 品质大院 电力宿舍 大院停车 三室朝阳,闵子骞路,洪家楼,3室2厅 ,134.55, 南 北 , 简装 ,6, 板楼,12, 5个月以前发布,2690000.0,"19,993元/平",VR看装修 房本满五年 
德润天玺，精装2室，采光充足，视野开阔。,德润天玺西区,汉峪,2室2厅 ,91.22, 南 北 , 精装 ,31, 板楼,2, 3个月以前发布,2000000.0,"21,926元/平",VR看装修 房本满两年 
房东诚信出售教职工宿舍小两室无公摊,历城四中宿舍,飞跃大道,2室2厅 ,69.69, 南 , 毛坯 ,5, 暂无数据,43, 一年前发布,550000.0,"7,893元/平",VR看装修 房本满五年 
精装三室平层两代居，适合和父母一起住，小区环境好,碧桂园翡翠雅郡,经十东路,3室2厅 ,140.12, 南 北 , 精装 ,24, 板楼,0, 7个月以前发布,1680000.0,"11,990元/平",VR看装修 房本满两年 
经十路旁 和润幸福城，优越位置，交通十分便利,和润幸福城,唐冶,4室2厅 ,222.67, 南 , 毛坯 ,31, 板楼,2, 7个月以前发布,4080000.0,"18,324元/平",VR看装修 房本满两年 
"证满两年,房子30万精装修，封闭式小区，房主诚心卖",碧桂园翡翠雅郡,经十东路,4室3厅 ,172.32, 南 , 精装 ,26, 板楼,28, 11个月以前发布,1900000.0,"11,026元/平",VR看装修 房本满两年 
工业北路 电厂宿舍 24小时热水供应 免高税,黄台电厂第二宿舍,还乡店,2室2厅 ,80.96, 南 北 , 简装 ,5, 板楼,16, 一年前发布,1000000.0,"12,352元/平",VR看装修 房本满两年 
东篱花园诚心出售 满五 随时看房 小区生活成本低,东篱花园,济钢,2室1厅 ,68.53, 南 北 , 简装 ,6, 板楼,2, 9个月以前发布,1050000.0,"15,322元/平",VR看装修 房本满五年 
烟草宿舍 大院停车 三室 精装修,闵子骞路,洪家楼,3室1厅 ,91.05, 南 北 , 精装 ,5, 板楼,5, 一年前发布,1950000.0,"21,417元/平",VR看装修 房本满五年 
2室朝阳，大客厅，采光好，业主诚心出售，看房方便,航运路999,全福区,2室1厅 ,89.99, 南 北 , 简装 ,7, 板楼,9, 9个月以前发布,1080000.0,"12,002元/平",VR看装修 房本满五年 
万达东邻，电梯房，精装两居，温馨舒适,东篱花园,济钢,2室2厅 ,86.5, 南 北 , 其他 ,25, 塔楼,0, 9个月以前发布,1220000.0,"14,105元/平",VR房源 房本满五年 
房子在济南市市立三院，适合老年人居住，房主诚心出售,市立三院宿舍,王舍人,2室1厅 ,56.63, 南 , 简装 ,5, 板楼,2, 7个月以前发布,740000.0,"13,068元/平",VR看装修 房本满两年 
万象新天，精装两室，多层两室，物业费便宜。看房方便,万象新天四区,王舍人,2室2厅 ,89.22, 南 北 , 精装 ,6, 板楼,11, 一年前发布,1370000.0,"15,356元/平",VR看装修 房本满五年 
酒精厂单位宿舍 2-1-1  低楼层  大客厅 采光充足,航运路100号,全福区,2室1厅 ,85.48, 南 北 , 简装 ,6, 板楼,11, 9个月以前发布,1120000.0,"13,103元/平",VR看装修 房本满五年 
低楼层 好停车 诚心卖 总价低 视野好 光线好,七里堡北区,祝甸,3室2厅 ,157.01, 北 南 , 简装 ,7, 板楼,2, 8个月以前发布,2480000.0,"15,796元/平",VR房源 房本满五年 
房主急售  随时看房  价格可谈,闵子骞路,洪家楼,3室2厅 ,85.0, 南 北 , 精装 ,5, 板楼,94, 一年前发布,1540000.0,"18,118元/平",VR看装修 房本满五年 
全福大润发 荣盛锦绣澜湾 两室两厅 精装好房出售,荣盛锦绣澜湾,全福区,2室2厅 ,73.21, 南 , 精装 ,34, 板楼,13, 7个月以前发布,1330000.0,"18,167元/平",VR看装修 房本满两年 
汉峪片区，刚需好房，楼层好 采光佳 装修好，看房方便,中铁逸都国际,汉峪,2室1厅 ,92.72, 南 , 精装 ,32, 板楼,6, 7个月以前发布,1750000.0,"18,875元/平",VR看装修 房本满两年 
正规大院 有小房 低楼层 上学方便 两室朝阳 居家之选,维尔康食品公司一宿舍,还乡店,2室1厅 ,58.81, 南 , 简装 ,5, 板楼,8, 8个月以前发布,850000.0,"14,454元/平",VR看装修 房本满五年 
桑园路 二环东路 电梯 简单装修 户型方正,二环东路618号,还乡店,2室2厅 ,97.0, 南 北 , 简装 ,11, 板楼,4, 一年前发布,1400000.0,"14,433元/平",VR看装修 房本满五年 
万象新天小高层 两室 证过五年唯一。含地下室,万象新天四区,王舍人,2室1厅 ,90.9, 南 北 , 简装 ,18, 板楼,10, 11个月以前发布,1320000.0,"14,522元/平",VR看装修 房本满两年 
业主急售，楼层好，精装两室，多多推荐,万象新天剑桥郡,王舍人,2室1厅 ,93.94, 南 北 , 精装 ,32, 板楼,1, 1个月以前发布,1300000.0,"13,839元/平",VR看装修 房本满两年 
单价低，此房证满两年，楼层好，配套成熟。,龙岱花园小区,全福区,2室2厅 ,124.85, 南 北 , 简装 ,20, 板楼,1, 一年前发布,1430000.0,"11,454元/平",VR房源 房本满五年 
证过两年 荣盛时代广场 电梯小高层 双气 精装 有飘窗,龙岱花园小区,全福区,2室2厅 ,107.8, 南 , 精装 ,12, 塔楼,19, 一年前发布,1285000.0,"11,921元/平",VR房源 房本满两年 
高校教工宿舍 优质房  南北通透 采光好有小房,齐鲁工业大学三宿舍,洪家楼,2室2厅 ,66.58, 南 北 , 精装 ,6, 板楼,12, 一年前发布,1250000.0,"18,775元/平",VR看装修 房本满五年 
保利花园88平两室诚心出售 户型方正,保利花园,建筑大学,2室2厅 ,87.7, 南 , 精装 ,33, 板楼,8, 一年前发布,1420000.0,"16,192元/平",VR看装修 房本满五年 
大润发旁 历城六东临 三室好户型 南北通透 可随时看房,荣盛锦绣澜湾,全福区,3室2厅 ,112.34, 南 北 , 简装 ,33, 板楼,6, 4个月以前发布,2120000.0,"18,872元/平",VR看装修 房本满两年 
建大花园 房主诚意出售 看房方便,建大花园,建筑大学,3室2厅 ,130.15, 南 北 , 简装 ,6, 板楼,0, 3个月以前发布,3800000.0,"29,198元/平",VR看装修 房本满五年 
产权清晰 两室朝阳 户型方正  全明户型,济钢新村南区和东区,济钢,2室1厅 ,66.96, 南 北 , 精装 ,6, 板楼,11, 一年前发布,830000.0,"12,396元/平",VR看装修 房本满两年 
这个房子户型很好 南北通透 两室朝阳,济钢新村南区和东区,济钢,2室1厅 ,71.11, 南 北 , 简装 ,6, 板楼,1, 8个月以前发布,950000.0,"13,360元/平",近地铁 VR看装修 房本满五年 
低楼层住宅 看房方便 适合居住 户型方正,济钢新村南区和东区,济钢,2室1厅 ,68.97, 南 , 简装 ,8, 板楼,9, 一年前发布,820000.0,"11,890元/平",近地铁 VR看装修 房本满五年 
精装修，过两年，一梯两户!三室两厅！,银丰唐郡玫瑰园,唐冶,3室2厅 ,134.44, 南 北 , 精装 ,11, 板楼,9, 5个月以前发布,2480000.0,"18,447元/平",VR看装修 房本满两年 
钢城新苑 满二 电梯房 有证 欢迎来电咨询,钢城新苑西区,济钢,2室2厅 ,93.0, 南 西 , 简装 ,11, 板楼,8, 一年前发布,1400000.0,"15,054元/平",近地铁 VR看装修 房本满五年 
新出好房 上六中 小区安静 绿化优美,重汽翡翠外滩,黄台,2室1厅 ,89.54, 南 , 简装 ,18, 板楼,4, 11个月以前发布,1480000.0,"16,529元/平",VR看装修 房本满两年 
山大南路 单位宿舍 总价低 单价便宜 看房方便,山大南路9-2号,洪家楼,3室2厅 ,88.43, 南 北 , 简装 ,7, 板楼,85, 一年前发布,1150000.0,"13,005元/平",VR看装修 房本满五年 
逸东花园精装两室，南北通透，不沿街，非顶楼,逸东花园,七里河,2室2厅 ,97.94, 南 北 , 精装 ,7, 板楼,54, 一年前发布,1490000.0,"15,214元/平",VR看装修 房本满五年 
中间楼层，双气，两室朝阳，大院好停车，带储藏室,二环东路1117号,全福区,3室0厅 ,62.18, 南 北 , 简装 ,5, 板楼,12, 一年前发布,1000000.0,"16,083元/平",VR看装修 房本满五年 
锦绣泉城，满五年不唯一，经典小户型，总价低,锦绣泉城,七里河,2室1厅 ,75.55, 南 , 简装 ,12, 塔楼,32, 一年前发布,1420000.0,"18,796元/平",VR看装修 房本满五年 
满五年  配套齐全 户型方正  交通便利,闵子骞路,洪家楼,3室1厅 ,88.77, 南 北 , 简装 ,6, 板楼,24, 7个月以前发布,1350000.0,"15,208元/平",VR看装修 房本满五年 
东篱花园 2室1厅 南 北,东篱花园,济钢,2室1厅 ,86.5, 南 北 , 简装 ,25, 塔楼,0, 1个月以前发布,1050000.0,"12,139元/平",VR看装修 房本满两年 
山东大学北门 大院传达 好停车 三室 双气 可贷款,山大北路83号,山大路,3室1厅 ,90.0, 南 北 , 其他 ,5, 板楼,12, 10个月以前发布,1450000.0,"16,112元/平",VR看装修 房本满五年 
房子满五唯一 房龄新 电梯小高层   居住舒适,将军花园新区,还乡店,2室2厅 ,105.49, 东南 , 简装 ,18, 塔楼,20, 9个月以前发布,1300000.0,"12,324元/平",VR房源 房本满两年 
历下区，电梯洋房，满五不唯一，采光充足，格局好,假日丽景花园小区西区,祝甸,2室1厅 ,72.71, 南 , 简装 ,11, 板楼,6, 6个月以前发布,1460000.0,"20,080元/平",VR看装修 房本满五年 
幸福苑  中间楼层  双气  公摊小,幸福苑,还乡店,2室2厅 ,84.53, 南 北 , 其他 ,7, 板楼,13, 4个月以前发布,1120000.0,"13,250元/平",VR看装修 房本满五年 
新上  上海花园洋房 一楼带前后院 采光好 通风好,上海花园,祝甸,2室2厅 ,97.12, 南 北 , 精装 ,6, 板楼,6, 6个月以前发布,2200000.0,"22,653元/平",近地铁 VR房源 房本满五年 
祝甸东方花园 1室1厅 南 北,祝甸东方花园,祝甸,1室1厅 ,76.84, 南 北 , 精装 ,7, 板楼,10, 1个月以前发布,800000.0,"10,412元/平",近地铁 VR看装修 房本满五年 
七里堡南区 地铁口，双气齐全，带地下室和车位，满二,七里堡小区南区,祝甸,2室1厅 ,77.72, 南 北 , 简装 ,6, 板楼,7, 7个月以前发布,1210000.0,"15,569元/平",近地铁 VR看装修 房本满两年 
七里堡洪苑小区中间楼层，满五唯一 带储藏室客厅好用,洪苑小区,祝甸,2室1厅 ,61.63, 南 北 , 简装 ,6, 板楼,58, 一年前发布,980000.0,"15,902元/平",近地铁 VR看装修 房本满五年 
精装修，有小房，中间楼层，采光好。,富翔天地,祝甸,2室1厅 ,95.11, 南 北 , 精装 ,6, 板楼,19, 11个月以前发布,1780000.0,"18,716元/平",VR看装修 房本满五年 
