中铁汇苑 2室2厅 南,中铁汇苑,奥体中路,2室2厅 ,98.75, 南 , 简装 ,26, 板塔结合,37, 11个月以前发布,2000000.0,"20,254元/平",近地铁 VR看装修 房本满五年 随时看房 
凤凰SOHO 1室1厅 西,凤凰SOHO,康虹路,1室1厅 ,39.4, 西 , 其他 ,18, 塔楼,0, 1个月以前发布,440000.0,"11,168元/平",VR房源 
奥体片区+业主诚心卖+loft+领包入住+已下证,龙湖奥东11号,汉峪,1室1厅 ,45.92, 北 , 精装 ,22, 塔楼,29, 一年前发布,800000.0,"17,422元/平",VR房源 
奥体 精装公寓诚心出售 随时入住看房方便,华创观礼中心,汉峪,1室1厅 ,37.0, 北 , 其他 ,33, 板楼,0, 2个月以前发布,490000.0,"13,244元/平",VR房源 
高新万达广场 交通便利 精装修 生活方便 楼层好,高新万达广场,国际会展中心,1室1厅 ,57.08, 东 , 精装 ,28, 板楼,0, 6个月以前发布,570000.0,"9,986元/平",VR房源 
高新区，万达北，已改两室，证过两年，好楼层，精装修,明湖白鹭郡,康虹路,1室1厅 ,60.0, 东 , 精装 ,20, 塔楼,76, 一年前发布,900000.0,"15,000元/平",VR看装修 
三庆齐盛广场 1室1厅 南,三庆齐盛广场,齐鲁软件园,1室1厅 ,44.0, 南 , 其他 ,29, 塔楼,1, 2个月以前发布,525000.0,"11,932元/平",VR房源 
业主诚心卖    自住  高新万达旁,新生活家园南区,国际会展中心,2室1厅 ,60.14, 北 , 其他 ,5, 塔楼,4, 6个月以前发布,960000.0,"15,963元/平",VR房源 
齐鲁软件园旁，小户型住宅，总价低,黄金时代,齐鲁软件园,1室1厅 ,46.0, 南 北 , 简装 ,7, 板塔结合,1, 一年前发布,920000.0,"20,000元/平",VR看装修 
盛世花城双气公寓，方正北向一室，中间楼层,盛世花城公寓,国际会展中心,1室1厅 ,48.0, 北 , 简装 ,15, 塔楼,0, 8个月以前发布,560000.0,"11,667元/平",VR房源 
鑫苑国际小洋房，1楼诚意出售  公摊小,鑫苑国际城市花园,国际会展中心,2室2厅 ,77.0, 南 , 其他 ,9, 板楼,9, 6个月以前发布,1390000.0,"18,052元/平",VR看装修 
八个窗户，全天采光好，高层视线好，,凤凰SOHO,康虹路,2室1厅 ,51.2, 东北 , 其他 ,22, 塔楼,1, 一年前发布,720000.0,"14,063元/平",VR房源 
此房商圈成熟，配套齐全，生活方便，租金稳定，总价低,鑫苑国际城市花园,国际会展中心,1室1厅 ,41.42, 北 , 其他 ,18, 塔楼,2, 一年前发布,380000.0,"9,175元/平",VR房源 
龙奥大厦 中海奥龙观邸 精装两居室,中海奥龙觀邸,汉峪,2室2厅 ,87.0, 南 , 精装 ,28, 板楼,15, 7个月以前发布,2280000.0,"26,207元/平",VR看装修 
万达+鑫苑国际+一居室小户型住宅,鑫苑国际城市花园,国际会展中心,1室2厅 ,60.9, 南 , 其他 ,18, 板楼,0, 3个月以前发布,1170000.0,"19,212元/平",VR看装修 
工业南路南邻，邻近高新万达，配套设施,鑫苑国际城市花园,国际会展中心,1室1厅 ,38.0, 南 , 其他 ,18, 塔楼,0, 2个月以前发布,410000.0,"10,790元/平",VR房源 
三庆齐盛广场 1室1厅 北,三庆齐盛广场,齐鲁软件园,1室1厅 ,43.69, 北 , 其他 ,29, 塔楼,2, 2个月以前发布,420000.0,"9,614元/平",VR房源 
三庆齐盛广场 1室1厅 北,三庆齐盛广场,齐鲁软件园,1室1厅 ,43.69, 北 , 其他 ,29, 塔楼,2, 2个月以前发布,420000.0,"9,614元/平",VR房源 
龙园 临和顺泰广场200米汉峪金谷400米 合适,龙园,齐鲁软件园,2室2厅 ,95.99, 南 北 , 其他 ,26, 板楼,2, 6个月以前发布,1800000.0,"18,752元/平",VR看装修 
楼层高，视野开阔，产权明晰，首套房可首付三成即可,汇展香格里拉,国际会展中心,1室1厅 ,64.19, 北 , 其他 ,31, 塔楼,1, 3个月以前发布,500000.0,"7,790元/平",VR房源 
碧桂园凤凰中心 1室1厅 北,碧桂园凤凰中心,汉峪,1室1厅 ,38.0, 北 , 其他 ,33, 板楼,1, 1个月以前发布,720000.0,"18,948元/平",VR房源 
未来城两室业主诚意卖  价格的话能商量  带飘窗,未来城,国际会展中心,2室2厅 ,89.0, 南 , 其他 ,27, 板楼,1, 2个月以前发布,1550000.0,"17,416元/平",VR看装修 
鑫苑国际城市花园  满五唯一    采光好户型好,鑫苑国际城市花园,国际会展中心,2室1厅 ,78.64, 南 北 , 其他 ,9, 板楼,4, 3个月以前发布,1450000.0,"18,439元/平",VR看装修 
楼层好，视野宽阔，地段很好，邻近龙奥北路商场街。,龙湖奥东11号,汉峪,1室1厅 ,48.78, 东南 , 其他 ,22, 塔楼,0, 1个月以前发布,850000.0,"17,426元/平",VR房源 
楼层好，视野开阔，交通便利，配套齐全，生活便利,高新万达广场,国际会展中心,2室1厅 ,65.57, 西南 , 其他 ,27, 塔楼,14, 一年前发布,750000.0,"11,439元/平",VR房源 
万达商圈总价低单价低，出行方便,鑫苑国际城市花园,国际会展中心,1室1厅 ,33.05, 南 , 其他 ,18, 塔楼,5, 3个月以前发布,310000.0,"9,380元/平",VR房源 
齐鲁软件园旁  两居室  南向采光好,雅居园小区,齐鲁软件园,2室2厅 ,92.0, 南 , 简装 ,18, 板塔结合,13, 4个月以前发布,1710000.0,"18,587元/平",VR看装修 
万达广场公寓出售 不要被报价所设限 价格都能谈,高新万达广场,国际会展中心,2室1厅 ,57.0, 东 , 其他 ,27, 塔楼,1, 6个月以前发布,650000.0,"11,404元/平",VR房源 
未来城北向公寓，中间楼层，安静舒适,未来城,国际会展中心,1室0厅 ,41.94, 北 , 其他 ,18, 塔楼,1, 4个月以前发布,395000.0,"9,419元/平",VR房源 
雅居园 靠山小区高新万达商圈 出行便利,雅居园小区,齐鲁软件园,2室2厅 ,86.53, 南 , 其他 ,18, 板塔结合,1, 5个月以前发布,1900000.0,"21,958元/平",VR看装修 
高新万达公寓 精装标准交房， 楼前无遮挡,高新万达广场,国际会展中心,1室1厅 ,56.96, 东 , 其他 ,27, 塔楼,0, 10个月以前发布,710000.0,"12,465元/平",VR房源 
高新万达公寓 精装标准交房， 楼前无遮挡,高新万达广场,国际会展中心,1室0厅 ,54.19, 东 , 其他 ,27, 塔楼,0, 10个月以前发布,670000.0,"12,364元/平",VR房源 
万达商圈 户型方正 视线无遮挡,鑫苑国际城市花园,国际会展中心,1室1厅 ,55.56, 西 , 其他 ,24, 塔楼,11, 3个月以前发布,960000.0,"17,279元/平",VR看装修 
房子配套齐全，总价低 交通便利,鑫苑国际城市花园,国际会展中心,1室1厅 ,46.49, 北 , 其他 ,18, 塔楼,3, 一年前发布,390000.0,"8,389元/平",VR房源 
高新汇展商圈 价格可谈，南向采光充足,汇展香格里拉,国际会展中心,1室1厅 ,53.0, 南 , 其他 ,31, 塔楼,0, 2个月以前发布,590000.0,"11,133元/平",VR房源 
软件园南邻一居 交通便利，生活方便,黄金时代,齐鲁软件园,1室1厅 ,48.53, 南 , 其他 ,7, 板塔结合,4, 8个月以前发布,690000.0,"14,219元/平",VR看装修 
齐鲁软件园一居  带电梯  70年产权  满五年不临街,黄金时代,齐鲁软件园,1室1厅 ,43.0, 东 , 简装 ,7, 板塔结合,0, 11个月以前发布,850000.0,"19,768元/平",VR看装修 
鑫苑国际 两室好房 中间楼层  房主急售 价格可谈,鑫苑国际城市花园,国际会展中心,2室2厅 ,77.96, 东南 , 其他 ,24, 塔楼,30, 6个月以前发布,1300000.0,"16,676元/平",VR看装修 
房子满五年  精装  楼座位置好 看房有钥匙价格可谈,鑫苑国际城市花园,国际会展中心,2室2厅 ,80.55, 南 北 , 简装 ,18, 板楼,15, 2个月以前发布,1250000.0,"15,519元/平",VR看装修 
位置优越 总价低 单价低  户型方正,理想新城,世纪大道,1室0厅 ,80.0, 西 , 简装 ,24, 塔楼,7, 一年前发布,520000.0,"6,500元/平",VR房源 
楼层高，视野开阔，产权明晰，证过两年 免  税。,汇展香格里拉,国际会展中心,1室1厅 ,70.0, 南 , 其他 ,31, 塔楼,0, 3个月以前发布,700000.0,"10,000元/平",VR房源 
价低，好楼层，业主诚心出售，看房提前联系,汇展香格里拉,国际会展中心,1室0厅 ,63.63, 北 , 其他 ,31, 塔楼,0, 5个月以前发布,630000.0,"9,901元/平",VR房源 
房子满二婚房，装修好，采光没啥问题,鑫苑国际城市花园,国际会展中心,2室2厅 ,78.68, 东南 , 其他 ,24, 塔楼,1, 6个月以前发布,1500000.0,"19,065元/平",VR看装修 
凤凰SOHO 1室2厅 北,凤凰SOHO,康虹路,1室2厅 ,33.92, 北 , 其他 ,19, 塔楼,0, 2个月以前发布,450000.0,"13,267元/平",VR房源 
万达商圈，配套齐全，楼层好，采光棒,鑫苑国际城市花园,国际会展中心,1室1厅 ,47.61, 北 , 其他 ,18, 塔楼,0, 10个月以前发布,400000.0,"8,402元/平",VR房源 
未来城  精装修+南北通透+采光无遮挡+业主急售,未来城,国际会展中心,2室1厅 ,92.7, 南 北 , 其他 ,27, 板楼,14, 3个月以前发布,1480000.0,"15,966元/平",VR看装修 
近高新万达 新生活家园南区一居室,新生活家园南区,国际会展中心,1室1厅 ,49.51, 北 , 简装 ,7, 塔楼,15, 一年前发布,680000.0,"13,735元/平",VR看装修 
精装两室，高层，视野好。满二无高税，业主诚意出售,中海天悦府,齐鲁软件园,2室1厅 ,90.13, 南 , 其他 ,32, 板楼,8, 一年前发布,1960000.0,"21,747元/平",VR看装修 
软件园东，低密度小区，楼栋不沿街，大两居，满二,国华印象,齐鲁软件园,2室1厅 ,112.86, 南 , 精装 ,25, 板楼,0, 5个月以前发布,2680000.0,"23,747元/平",VR看装修 
双气，能贷款，位置好，价格低，诚心出售,汇展香格里拉,国际会展中心,2室1厅 ,75.05, 北 , 其他 ,31, 塔楼,12, 6个月以前发布,580000.0,"7,729元/平",VR房源 
精装，全明户型，奥龙观邸，奥体旁，龙奥大厦,中海奥龙觀邸,汉峪,2室2厅 ,87.0, 南 , 其他 ,24, 板楼,10, 一年前发布,2280000.0,"26,207元/平",VR看装修 
齐鲁软家园一居住宅  满两年  业主诚售,黄金时代,齐鲁软件园,1室1厅 ,46.0, 东 , 其他 ,7, 板塔结合,0, 3个月以前发布,920000.0,"20,000元/平",VR看装修 
高新万达旁 繁华社区 带阳台的公寓你值得拥有 税费低,鑫苑国际城市花园,国际会展中心,1室0厅 ,47.61, 北 , 简装 ,18, 塔楼,9, 7个月以前发布,340000.0,"7,142元/平",VR房源 
中齐未来城 一室一厅 租金抵月供 拎包入住,鑫苑国际城市花园,国际会展中心,1室1厅 ,48.0, 南 , 其他 ,18, 塔楼,0, 9个月以前发布,450000.0,"9,375元/平",VR房源 
山钢一居室 南向 精装修 交通便利,山钢新天地,奥体中路,1室0厅 ,51.8, 南 , 其他 ,26, 板楼,3, 10个月以前发布,700000.0,"13,514元/平",近地铁 VR房源 
邻近万达，楼层好，配套设施齐全 交通便利,山钢新天地,奥体中路,1室0厅 ,48.87, 东北 , 其他 ,26, 板楼,2, 4个月以前发布,530000.0,"10,846元/平",近地铁 VR房源 
山钢新天地 1室1厅 北,山钢新天地,奥体中路,1室1厅 ,38.0, 北 , 其他 ,26, 板楼,1, 6个月以前发布,500000.0,"13,158元/平",近地铁 VR房源 
万达* 奥体中路 山钢新天地  小户型,山钢新天地,奥体中路,1室0厅 ,50.88, 南 , 其他 ,26, 板楼,0, 5个月以前发布,590000.0,"11,596元/平",近地铁 VR房源 
鑫苑国际城市花园 1室1厅 北,鑫苑国际城市花园,国际会展中心,1室1厅 ,46.44, 北 , 其他 ,18, 塔楼,0, 1个月以前发布,400000.0,"8,614元/平",VR房源 
汇展香格里拉 1室1厅 北,汇展香格里拉,国际会展中心,1室1厅 ,73.55, 北 , 其他 ,31, 塔楼,2, 7个月以前发布,680000.0,"9,246元/平",VR房源 
高新万达广场 1室1厅 西,高新万达广场,国际会展中心,1室1厅 ,57.05, 西 , 其他 ,27, 塔楼,2, 2个月以前发布,600000.0,"10,518元/平",VR房源 
雅居园东临  带电梯小户型 拎包入住,黄金时代,齐鲁软件园,1室1厅 ,46.49, 北 , 其他 ,7, 板塔结合,0, 6个月以前发布,820000.0,"17,639元/平",VR看装修 
中间楼层，楼层好，配套设施齐全 交通便利,山钢新天地,奥体中路,1室1厅 ,40.09, 西 , 其他 ,26, 板楼,11, 一年前发布,450000.0,"11,225元/平",近地铁 VR房源 
鑫苑国际城市花园 3室1厅 南 北,鑫苑国际城市花园,国际会展中心,3室1厅 ,95.0, 南 北 , 其他 ,18, 板楼,37, 1个月以前发布,1450000.0,"15,264元/平",VR看装修 
工业南路大两室高绿化小区业主诚心出售,未来城,国际会展中心,2室2厅 ,90.65, 南 , 精装 ,27, 板楼,9, 1个月以前发布,1550000.0,"17,099元/平",VR看装修 
未来城 1室1厅 南,未来城,国际会展中心,1室1厅 ,43.0, 南 , 其他 ,17, 塔楼,0, 2个月以前发布,420000.0,"9,768元/平",VR房源 
齐鲁软家园南向一居室    70年产权,黄金时代,齐鲁软件园,1室1厅 ,48.0, 南 , 简装 ,7, 板塔结合,7, 5个月以前发布,770000.0,"16,042元/平",VR看装修 
业主诚心出售看房方便精装一室房源,华创观礼中心,汉峪,1室1厅 ,35.5, 北 , 精装 ,33, 板楼,4, 3个月以前发布,420000.0,"11,831元/平",VR房源 
新生活家园南区 户型方正 交通生活便利,新生活家园南区,国际会展中心,1室1厅 ,50.0, 北 , 简装 ,5, 塔楼,27, 7个月以前发布,600000.0,"12,000元/平",VR看装修 
不沿街不靠路，价格可谈，电梯房,鑫苑国际城市花园,国际会展中心,2室1厅 ,83.7, 东北 , 其他 ,22, 塔楼,27, 8个月以前发布,1300000.0,"15,532元/平",VR看装修 
盛世花城公寓 1室0厅 南,盛世花城公寓,国际会展中心,1室0厅 ,43.0, 南 , 其他 ,15, 塔楼,6, 4个月以前发布,450000.0,"10,466元/平",VR房源 
奥体旁精装正规一室一厅 动静分离 好楼层 南向采光好,华创观礼中心,汉峪,1室1厅 ,55.04, 南 , 精装 ,33, 板楼,6, 3个月以前发布,720000.0,"13,082元/平",VR房源 
软件园旁一室住宅，户型方正，业主诚售,黄金时代,齐鲁软件园,1室1厅 ,45.0, 北 , 简装 ,7, 板塔结合,4, 一年前发布,750000.0,"16,667元/平",VR看装修 
采光好，视野开阔，户型格局好，位置好，交通便利,华创观礼中心,汉峪,1室1厅 ,54.18, 南 , 其他 ,33, 板楼,8, 10个月以前发布,680000.0,"12,551元/平",VR房源 
正规一居室住宅，楼层好。采光好,黄金时代,齐鲁软件园,1室1厅 ,54.0, 南 , 精装 ,7, 板塔结合,29, 一年前发布,830000.0,"15,371元/平",VR看装修 
未来城南向公寓，中间楼层，交通方便，生活方便,未来城,国际会展中心,1室1厅 ,48.2, 南 , 其他 ,18, 塔楼,3, 11个月以前发布,460000.0,"9,544元/平",VR房源 
高新万达广场 交通便利 精装修 ，视野开阔,高新万达广场,国际会展中心,2室1厅 ,58.23, 东南 , 其他 ,27, 板楼,13, 5个月以前发布,600000.0,"10,304元/平",VR房源 
天悦府小高层，精装自住，产权车位，诚意出售,中海天悦府,齐鲁软件园,3室1厅 ,105.0, 南 北 , 其他 ,18, 板楼,3,7,2750000.0,"26,191元/平",
明湖白鹭郡 2室2厅 南 北,明湖白鹭郡,康虹路,2室2厅 ,99.61, 南 北 , 其他 ,18, 板楼,1,4,1750000.0,"17,569元/平",
汇展香格里拉 2室1厅 南,汇展香格里拉,国际会展中心,2室1厅 ,86.63, 南 , 其他 ,27, 塔楼,0,5,900000.0,"10,390元/平",
龙湖奥东11号 2室1厅 东南,龙湖奥东11号,汉峪,2室1厅 ,66.0, 东南 , 其他 ,32, 塔楼,0,4,1300000.0,"19,697元/平",
工业南路 万达旁 拎包入住 价格可聊  软件园 国际会展,未来城,国际会展中心,1室1厅 ,42.23, 北 , 其他 ,18, 塔楼,0,3,420000.0,"9,946元/平",
海信贤文中心 1室1厅 南,海信贤文中心,奥体中路,1室1厅 ,45.0, 南 , 其他 ,26, 塔楼,0,9,680000.0,"15,112元/平",近地铁 
山钢新天地广场 1室1厅 东,山钢新天地广场,奥体中路,1室1厅 ,46.78, 东 , 其他 ,25, 塔楼,0,8,610000.0,"13,040元/平",近地铁 
汇展香格里拉 2室2厅 北,汇展香格里拉,国际会展中心,2室2厅 ,71.37, 北 , 其他 ,27, 塔楼,1,4,650000.0,"9,108元/平",
龙湖奥东11号 1室1厅 南,龙湖奥东11号,汉峪,1室1厅 ,42.0, 南 , 其他 ,22, 塔楼,0,6,780000.0,"18,572元/平",
凤凰SOHO 1室2厅 北,凤凰SOHO,康虹路,1室2厅 ,34.0, 北 , 其他 ,19, 塔楼,0,3,380000.0,"11,177元/平",
龙湖奥东11号 1室1厅 西,龙湖奥东11号,汉峪,1室1厅 ,42.26, 西 , 其他 ,22, 塔楼,0,2,630000.0,"14,908元/平",
南北通透，公摊小，随时能看房。,新东方花园,康虹路,3室1厅 ,143.0, 南 北 , 其他 ,12, 板楼,7,8,2100000.0,"14,686元/平",
凤凰SOHO 1室1厅 北,凤凰SOHO,康虹路,1室1厅 ,34.0, 北 , 其他 ,19, 塔楼,0,2,430000.0,"12,648元/平",
凤凰SOHO 1室1厅 南 北,凤凰SOHO,康虹路,1室1厅 ,34.0, 南 北 , 其他 ,19, 塔楼,0,4,450000.0,"13,236元/平",
中海天悦府 2室2厅 南,中海天悦府,齐鲁软件园,2室2厅 ,90.13, 南 , 其他 ,32, 板楼,0,4,1900000.0,"21,081元/平",
工业南路南邻，邻近高新万达，配套设施,新生活家园南区,国际会展中心,2室2厅 ,53.67, 南 , 其他 ,5, 塔楼,0,3,880000.0,"16,397元/平",
高新万达广场 1室1厅 南 北,高新万达广场,国际会展中心,1室1厅 ,48.0, 南 北 , 其他 ,27, 塔楼,2,4,480000.0,"10,000元/平",
华创观礼中心 1室1厅 北,华创观礼中心,汉峪,1室1厅 ,40.0, 北 , 其他 ,33, 板楼,0,2,600000.0,"15,000元/平",
汇展香格里拉 1室1厅 南,汇展香格里拉,国际会展中心,1室1厅 ,56.47, 南 , 其他 ,31, 塔楼,0,3,600000.0,"10,626元/平",
黄金时代 1室0厅 北,黄金时代,齐鲁软件园,1室0厅 ,46.9, 北 , 其他 ,7, 板塔结合,0,2,900000.0,"19,190元/平",
鑫苑国际城市花园 1室1厅 南,鑫苑国际城市花园,国际会展中心,1室1厅 ,55.56, 南 , 其他 ,18, 塔楼,0,3,420000.0,"7,560元/平",
万达华府 客厅朝阳 三居室 高楼层 诚心卖,万达华府,国际会展中心,3室2厅 ,115.36, 南 , 简装 ,32, 板楼,0,8,2480000.0,"21,498元/平",
新生活家园南区 3室2厅 南,新生活家园南区,国际会展中心,3室2厅 ,118.0, 南 , 其他 ,28, 塔楼,0,3,1860000.0,"15,763元/平",
万达华府 3室2厅 南 北,万达华府,国际会展中心,3室2厅 ,126.0, 南 北 , 其他 ,16, 板楼,1,8,3200000.0,"25,397元/平",
茗筑美嘉，精装修，户型方正，采光充足，双阳台。,茗筑美嘉,康虹路,2室2厅 ,91.0, 南 , 其他 ,24, 板楼,2,8,1580000.0,"17,363元/平",
万科麓公馆 2室2厅 北,万科麓公馆,齐鲁软件园,2室2厅 ,32.0, 北 , 其他 ,19, 板楼,0,3,470000.0,"14,688元/平",
龙园 2室2厅 南,龙园,齐鲁软件园,2室2厅 ,96.0, 南 , 其他 ,27, 板楼,0,1,1860000.0,"19,375元/平",
鑫苑国际城市花园 2室1厅 东 北,鑫苑国际城市花园,国际会展中心,2室1厅 ,82.89, 东 北 , 简装 ,24, 塔楼,0,4,1320000.0,"15,925元/平",
一楼带小院 ，带地下室14平 花园洋房 业主诚售,鑫苑国际城市花园,国际会展中心,3室1厅 ,95.0, 南 北 , 其他 ,9, 板楼,1,3,1900000.0,"20,000元/平",
万科麓公馆 1室1厅 北,万科麓公馆,齐鲁软件园,1室1厅 ,27.0, 北 , 其他 ,30, 板楼,0,5,350000.0,"12,963元/平",
此房已经满二，户型方正，南北通透+地下室，视野开阔,中铁汇苑,奥体中路,3室2厅 ,143.0, 南 北 , 其他 ,28, 板塔结合,0,5,3590000.0,"25,105元/平",
国华印象 4室2厅 南 北,国华印象,齐鲁软件园,4室2厅 ,180.0, 南 北 , 其他 ,18, 板楼,0,4,4450000.0,"24,723元/平",
鑫苑国际城市花园 2室1厅 西南,鑫苑国际城市花园,国际会展中心,2室1厅 ,73.97, 西南 , 其他 ,24, 塔楼,0,5,1400000.0,"18,927元/平",
奥体山景洋房！龙奥大厦旁东城逸家！车位地下室凤凰层,晨曦嘉园,汉峪,3室2厅 ,152.0, 南 , 其他 ,10, 板楼,2,4,4430000.0,"29,145元/平",
奥体旁百万装修！新房未住！山景洋房！带车位地下室,晨曦嘉园,汉峪,4室2厅 ,195.0, 南 北 , 其他 ,8, 板楼,0,2,7000000.0,"35,898元/平",
鑫苑国际城市花园 1室2厅 南,鑫苑国际城市花园,国际会展中心,1室2厅 ,52.46, 南 , 其他 ,24, 塔楼,0,1,980000.0,"18,681元/平",
万科麓公馆 1室1厅 北,万科麓公馆,齐鲁软件园,1室1厅 ,27.0, 北 , 其他 ,30, 板楼,0,5,350000.0,"12,963元/平",
丰奥嘉园北区 2室2厅 南,丰奥嘉园北区,奥体中路,2室2厅 ,100.28, 南 , 简装 ,29, 板楼,1,7,2000000.0,"19,945元/平",近地铁 
祥泰新河湾 3室2厅 南 北,祥泰新河湾,康虹路,3室2厅 ,96.0, 南 北 , 其他 ,11, 板楼,0,2,2100000.0,"21,875元/平",近地铁 
康桥颐东 3室2厅 南 北,康桥颐东,奥体中路,3室2厅 ,153.77, 南 北 , 其他 ,26, 板塔结合,0,1,3500000.0,"22,762元/平",近地铁 房本满五年 
人车分流 卧室客厅朝阳 小高层 采光充足 户型方正..,中海天悦府,齐鲁软件园,3室1厅 ,122.7, 南 北 , 其他 ,11, 板楼,1, 刚刚发布,3500000.0,"28,525元/平",
海信慧园东区 3室2厅 南,海信慧园东区,康虹路,3室2厅 ,115.0, 南 , 其他 ,18, 板楼,2, 刚刚发布,2100000.0,"18,261元/平",
万达华府 2室2厅 南 北,万达华府,国际会展中心,2室2厅 ,99.12, 南 北 , 其他 ,32, 板楼,2, 刚刚发布,1780000.0,"17,959元/平",
精装修自住 业主诚心卖 户型好,万达华府,国际会展中心,3室2厅 ,141.61, 南 , 其他 ,30, 板楼,1, 刚刚发布,2800000.0,"19,773元/平",
万达华府 4室1厅 南 北,万达华府,国际会展中心,4室1厅 ,187.0, 南 北 , 其他 ,32, 板楼,0,1,4100000.0,"21,926元/平",
此房满两年 通透性强格局好两室一厅朝阳 业主诚意出售,中海天悦府,齐鲁软件园,3室2厅 ,109.0, 南 北 , 其他 ,32, 板楼,1,6,2650000.0,"24,312元/平",
明湖白鹭郡 3室2厅 南,明湖白鹭郡,康虹路,3室2厅 ,117.0, 南 , 其他 ,18, 板楼,1,3,2280000.0,"19,488元/平",
满五年免个税，楼层好，采光好前面无遮挡，诚意出售,茗筑美嘉,康虹路,3室2厅 ,119.75, 南 北 , 其他 ,24, 板楼,1,2,2400000.0,"20,042元/平",
邻高新实验 采光好 有车位 业主诚心卖,海信慧园东区,康虹路,3室2厅 ,113.0, 南 北 , 其他 ,26, 板楼,1,2,2200000.0,"19,470元/平",
经十路旁 配套齐全 交通便利 奥体精装,万科麓山,齐鲁软件园,3室2厅 ,143.0, 南 北 , 精装 ,18, 板楼,2,5,4500000.0,"31,469元/平",
山钢新天地+满两年+诚心出售+生活便利+配套齐全,山钢新天地,奥体中路,3室2厅 ,124.5, 南 北 , 精装 ,11, 板楼,1,5,2880000.0,"23,133元/平",
龙园 2室2厅 南 西北,龙园,齐鲁软件园,2室2厅 ,96.45, 南 西北 , 精装 ,27, 板楼,0,3,1800000.0,"18,663元/平",
奥龙观邸 南北通透三居室 低密度 低公摊 配套成熟,中海奥龙觀邸,汉峪,3室2厅 ,136.11, 南 北 , 其他 ,26, 板楼,0,6,3500000.0,"25,715元/平",
不靠路不沿街+精装修+一梯两户+南北通透,新生活家园北区,康虹路,4室2厅 ,190.94, 南 北 , 精装 ,11, 板楼,0,4,3910000.0,"20,478元/平",
南向采光好 万达广场旁 民水民电地暖 未来城,未来城,国际会展中心,1室1厅 ,42.85, 南 , 精装 ,18, 塔楼,1, 6个月以前发布,420000.0,"9,802元/平",房本满五年 
万达旁 中高楼层 全天采光 洋房两室 南北通透 诚售,鑫苑国际城市花园,国际会展中心,2室2厅 ,78.7, 南 北 , 精装 ,9, 板楼,0,11,1480000.0,"18,806元/平",
南北通透+三居室+一厨一卫+低楼层+上下方便,新东方花园,康虹路,2室2厅 ,105.0, 南 北 , 其他 ,12, 板楼,10,12,1590000.0,"15,143元/平",
高新万达，配套成熟，出行方便。,鑫苑国际城市花园,国际会展中心,1室1厅 ,41.42, 北 , 简装 ,18, 塔楼,0, 9个月以前发布,400000.0,"9,658元/平",房本满五年 
这个房子满两年，诚意出售，业主着急卖,雅居园小区,齐鲁软件园,2室2厅 ,103.0, 南 , 其他 ,6, 板楼,0,14,2300000.0,"22,331元/平",
新生活家园北区 3室1厅 南,新生活家园北区,康虹路,3室1厅 ,121.22, 南 , 简装 ,28, 塔楼,3,12,2130000.0,"17,572元/平",
康桥颐东 2室2厅 南 北,康桥颐东,奥体中路,2室2厅 ,94.69, 南 北 , 精装 ,11, 板楼,0, 刚刚发布,2520000.0,"26,614元/平",随时看房 
新河湾北区两室业主诚心卖 价格的话能商量带地下室,祥泰新河湾,康虹路,2室1厅 ,79.67, 南 , 其他 ,34, 板楼,0,15,1380000.0,"17,322元/平",房本满两年 
楼层好.视野宽阔.环境优美，采光充足.配套设施完善,中垠雅苑,齐鲁软件园,3室2厅 ,104.77, 南 北 , 其他 ,33, 板楼,1,14,2450000.0,"23,385元/平",房本满两年 
新东方花园 双气 三室朝阳 户型方正,新东方花园,康虹路,3室2厅 ,137.79, 南 北 , 简装 ,12, 板楼,17,12,2150000.0,"15,604元/平",房本满五年 
万科麓公馆 1室1厅 西,万科麓公馆,齐鲁软件园,1室1厅 ,29.5, 西 , 其他 ,30, 塔楼,0,10,350000.0,"11,865元/平",房本满两年 
山师中垠雅苑+视野好+满二+采光好,中垠雅苑,齐鲁软件园,3室2厅 ,130.69, 南 , 其他 ,18, 板塔结合,5,14,3050000.0,"23,338元/平",房本满两年 
鑫苑国际城市花园 1室1厅 北,鑫苑国际城市花园,国际会展中心,1室1厅 ,33.49, 北 , 简装 ,18, 塔楼,4,13,280000.0,"8,361元/平",房本满五年 
高新区 康虹路 两室和客厅朝阳 带地下室12平！,盛世花城,国际会展中心,3室2厅 ,145.34, 北 南 , 简装 ,18, 板楼,6,13,2650000.0,"18,234元/平",房本满五年 
康虹路 新东方花园 大三居 南北通透 不临街,新东方花园,康虹路,3室2厅 ,141.0, 北 南 , 其他 ,12, 板楼,2, 2个月以前发布,2300000.0,"16,313元/平",
祥泰新河湾 凤凰路西侧 南北通透小三居 中间楼层,祥泰新河湾,康虹路,3室1厅 ,95.0, 南 北 , 其他 ,31, 板楼,13, 11个月以前发布,1700000.0,"17,895元/平",近地铁 
有证满两年全明户型通透户型精装修楼层视野好采光棒,中海奥龙觀邸,汉峪,4室2厅 ,245.0, 南 北 , 精装 ,22, 板楼,0,6,8350000.0,"34,082元/平",
高新万达旁万达华府 高档社区房子新 近学 校方便,万达华府,国际会展中心,3室1厅 ,115.36, 南 北 , 简装 ,32, 板楼,1,9,2520000.0,"21,845元/平",
中垠雅苑 3室2厅 南 北,中垠雅苑,齐鲁软件园,3室2厅 ,132.26, 南 北 , 简装 ,18, 板塔结合,2,7,3050000.0,"23,061元/平",
